"Anio";"Periodo";"Numero_de_parados";"Numero_de_ocupados"
"2002";"Trimestre 1";"2.152,8";"16.482,3"
"2002";"Trimestre 2";"2.103,3";"16.766,9"
"2002";"Trimestre 3";"2.196";"16.919,3"
"2002";"Trimestre 4";"2.232,4";"16.991,9"
"2003";"Trimestre 1";"2.328,5";"17.092,7"
"2003";"Trimestre 2";"2.216";"17.423,2"
"2003";"Trimestre 3";"2.247,5";"17.646"
"2003";"Trimestre 4";"2.276,7";"17.740,5"
"2004";"Trimestre 1";"2.309,8";"17.770,2"
"2004";"Trimestre 2";"2.247,6";"18.018,9"
"2004";"Trimestre 3";"2.199,8";"18.289,1"
"2004";"Trimestre 4";"2.176,9";"18.490,8"
"2005";"Trimestre 1";"2.121,3";"18.736,1"
"2005";"Trimestre 2";"1.969,1";"19.160,6"
"2005";"Trimestre 3";"1.783,5";"19.422,1"
"2005";"Trimestre 4";"1.860,3";"19.509,2"
"2006";"Trimestre 1";"1.942,8";"19.578,4"
"2006";"Trimestre 2";"1.834,4";"19.891,6"
"2006";"Trimestre 3";"1.766,9";"20.091"
"2006";"Trimestre 4";"1.819,4";"20.195,4"
"2007";"Trimestre 1";"1.863,2";"20.267,5"
"2007";"Trimestre 2";"1.773,2";"20.580,9"
"2007";"Trimestre 3";"1.806,2";"20.753,4"
"2007";"Trimestre 4";"1.942";"20.717,9"
"2008";"Trimestre 1";"2.190,5";"20.620"
"2008";"Trimestre 2";"2.385,7";"20.646,9"
"2008";"Trimestre 3";"2.600,7";"20.556,4"
"2008";"Trimestre 4";"3.206,8";"20.055,3"
"2009";"Trimestre 1";"4.018,2";"19.284,4"
"2009";"Trimestre 2";"4.139,6";"19.154,2"
"2009";"Trimestre 3";"4.121,4";"19.098,4"
"2009";"Trimestre 4";"4.335";"18.890,4"
"2010";"Trimestre 1";"4.617,7";"18.652,9"
"2010";"Trimestre 2";"4.655,3";"18.751,1"
"2010";"Trimestre 3";"4.585,4";"18.819"
"2010";"Trimestre 4";"4.702,2";"18.674,9"
"2011";"Trimestre 1";"4.921,2";"18.426,2"
"2011";"Trimestre 2";"4.844,2";"18.622"
"2011";"Trimestre 3";"4.998";"18.484,5"
"2011";"Trimestre 4";"5.287,3";"18.153"
"2012";"Trimestre 1";"5.667,9";"17.765,1"
"2012";"Trimestre 2";"5.731";"17.758,5"
"2012";"Trimestre 3";"5.824,2";"17.667,7"
"2012";"Trimestre 4";"6.021";"17.339,4"
"2013";"Trimestre 1";"6.278,2";"17.030,2"
"2013";"Trimestre 2";"6.047,3";"17.160,6"
"2013";"Trimestre 3";"5.943,4";"17.230"
"2013";"Trimestre 4";"5.935,6";"17.135,2"
"2014";"Trimestre 1";"5.933,3";"16.950,6"
"2014";"Trimestre 2";"5.622,9";"17.353"
"2014";"Trimestre 3";"5.427,7";"17.504"
"2014";"Trimestre 4";"5.457,7";"17.569,1"
"2015";"Trimestre 1";"5.444,6";"17.454,8"
"2015";"Trimestre 2";"5.149";"17.866,5"
"2015";"Trimestre 3";"4.850,8";"18.048,7"
"2015";"Trimestre 4";"4.779,5";"18.094,2"
"2016";"Trimestre 1";"4.791,4";"18.029,6"
"2016";"Trimestre 2";"4.574,7";"18.301"
"2016";"Trimestre 3";"4.320,8";"18.527,5"
"2016";"Trimestre 4";"4.237,8";"18.508,1"
"2017";"Trimestre 1";"4.255";"18.438,3"
"2017";"Trimestre 2";"3.914,3";"18.813,3"
"2017";"Trimestre 3";"3.731,7";"19.049,2"
"2017";"Trimestre 4";"3.766,7";"18.998,4"
"2018";"Trimestre 1";"3.796,1";"18.874,2"
"2018";"Trimestre 2";"3.490,1";"19.344,1"
"2018";"Trimestre 3";"3.326";"19.528"
"2018";"Trimestre 4";"3.304,3";"19.564,6"
"2019";"Trimestre 1";"3.354,2";"19.471,1"
"2019";"Trimestre 2";"3.230,6";"19.804,9"
"2019";"Trimestre 3";"3.214,4";"19.874,3"
"2019";"Trimestre 4";"3.191,9";"19.966,9"
"2020";"Trimestre 1";"3.313";"19.681,3"
"2020";"Trimestre 2";"3.368";"18.607,2"
"2020";"Trimestre 3";"3.722,9";"19.176,9"
"2020";"Trimestre 4";"3.719,8";"19.344,3"
"2021";"Trimestre 1";"3.653,9";"19.206,8"
"2021";"Trimestre 2";"3.543,8";"19.671,7"
"2021";"Trimestre 3";"3.416,7";"20.031"
"2021";"Trimestre 4";"3.103,8";"20.184,9"
"2022";"Trimestre 1";"3.174,7";"20.084,7"